query_id,source_query,draft_steps,full_generation_ms,first_exact6_ms,first_stable_exact6_ms,first_exact6_equals_final,first_stable_exact6_equals_final,final_exact6,first_exact6_subqueries,stable_exact6_subqueries,final_subqueries
q001,diffusion LLM,8,1749.507,1553.091,1697.535,False,True,True,"[""diffusion models for language language survey and definitions"", ""discrete diffusion diffusion models for text generation architectures"", ""training objectives for diffusion-based language models"", ""inference acceleration and sampling algorithms for diffusion LLMs"", ""benchmarking and of diffusion diffusion vs language models"", ""limitations and challenges of diffusion vs autoregressivegressive models""]","[""diffusion models for language modeling survey and definitions"", ""discrete and continuous diffusion for text generation architecture"", ""training objectives for diffusion-based language models"", ""inference acceleration and sampling methods for diffusion LLMs"", ""benchmarking performance evaluation of diffusion large language models"", ""limitations and challenges of diffusion vs autoregressive transformers""]","[""diffusion models for language modeling survey and definitions"", ""discrete and continuous diffusion for text generation architecture"", ""training objectives for diffusion-based language models"", ""inference acceleration and sampling methods for diffusion LLMs"", ""benchmarking performance evaluation of diffusion large language models"", ""limitations and challenges of diffusion vs autoregressive transformers""]"
q002,retrieval augmented generation for medical question answering,9,506.286,264.079,409.513,False,True,True,"[""retrieval-augmented generation for medical question answering survey"", ""large language models for medical RAG architectures and families"", ""fine-tuning RAG systems for clinical domain knowledge knowledge methods"", ""inference strategies and sampling methods for medical RAG"", ""benchmarks for evaluation medical for medical question and evaluation"", ""limitations and hallucinations in medical retrieval-augmented generation systems""]","[""retrieval-augmented generation for medical question answering survey"", ""large language models for medical RAG architectures and families"", ""fine-tuning RAG models for clinical domain knowledge and training"", ""inference strategies and sampling methods for medical RAG"", ""benchmarks for evaluating medical RAG performance and accuracy"", ""limitations and hallucinations in medical retrieval-augmented generation systems""]","[""retrieval-augmented generation for medical question answering survey"", ""large language models for medical RAG architectures and families"", ""fine-tuning RAG models for clinical domain knowledge and training"", ""inference strategies and sampling methods for medical RAG"", ""benchmarks for evaluating medical RAG performance and accuracy"", ""limitations and hallucinations in medical retrieval-augmented generation systems""]"
q003,scaling laws for multimodal transformers,10,548.793,252.526,547.982,False,True,True,"[""scaling laws for multimodal transformers survey and theoretical frameworks"", ""empirical- laws laws vision-language models and scaling models"", ""data efficiency and multimodal multimodal pre-training-training"", ""inference efficiency and activation scaling for large multimodal models"", ""benchmarking performance for for multimodal scaling scaling"", ""limitations and saturation in in scaling scaling multimodal architectures""]","[""scaling laws for multimodal transformers survey and theoretical foundations"", ""empirical scaling laws for vision-language models and multimodal LL"", ""data efficiency and compute scaling in multimodal pre-training"", ""inference efficiency and activation scaling of large multimodal models"", ""benchmarking performance scaling across multimodal downstream tasks"", ""limitations and saturation points in scaling multimodal transformer architectures""]","[""scaling laws for multimodal transformers survey and theoretical foundations"", ""empirical scaling laws for vision-language models and multimodal LL"", ""data efficiency and compute scaling in multimodal pre-training"", ""inference efficiency and activation scaling of large multimodal models"", ""benchmarking performance scaling across multimodal downstream tasks"", ""limitations and saturation points in scaling multimodal transformer architectures""]"
q004,benchmarking long context language models,9,493.347,252.529,492.594,False,True,True,"[""survey of long context window language models and definitions"", ""architectures for scaling long context window transformer models"", ""training techniques for scaling context length length- and- training"", ""inference optimization and sampling strategies for long context"", ""retrieval- and benchmarks for long long context models"", ""limitations and performance degradation in long context LLMs""]","[""survey of long context window language models and definitions"", ""architectures for long-context transformer models review"", ""training techniques for scaling context length RoPE and ALi"", ""inference optimization and sampling strategies for long context"", ""retrieval and reasoning benchmarks for long context LLMs"", ""limitations and performance degradation in long context window models""]","[""survey of long context window language models and definitions"", ""architectures for long-context transformer models review"", ""training techniques for scaling context length RoPE and ALi"", ""inference optimization and sampling strategies for long context"", ""retrieval and reasoning benchmarks for long context LLMs"", ""limitations and performance degradation in long context window models""]"
q005,efficient fine tuning methods for large language models,12,641.768,253.178,640.879,False,True,True,"[""survey of parameter-efficient fine-tuning techniques large language models"", ""LoRA and LoRA and-- tuning techniques comparison"", ""prompt tuning and prefix tuning methods for LLMs"", ""quantization- fine fine- Q QRARA"", ""benchbenchmarks evaluating evaluating- of fine tuning performance"", ""limitations and challenges of low-rank fine in tuning""]","[""survey of parameter-efficient fine tuning techniques for large language models"", ""LoRA and adapter-based fine tuning architectures performance comparison"", ""prompt tuning and prefix tuning methods for LLMs"", ""quantization-aware fine tuning QLoRA technical report"", ""benchmarks evaluating memory-efficient fine tuning performance"", ""limitations and challenges of low-rank adaptation in transformers""]","[""survey of parameter-efficient fine tuning techniques for large language models"", ""LoRA and adapter-based fine tuning architectures performance comparison"", ""prompt tuning and prefix tuning methods for LLMs"", ""quantization-aware fine tuning QLoRA technical report"", ""benchmarks evaluating memory-efficient fine tuning performance"", ""limitations and challenges of low-rank adaptation in transformers""]"
q006,safety alignment in open source language models,9,495.788,254.024,447.019,False,True,True,"[""taxonomy of safety alignment in open opensource language models"", ""open open source LLM families Llamalamaral Falcon safety safety"", ""RLHF and DPO techniques for alignment open source models"", ""inference-time safety guard and and decoding strategies for open models"", ""benchmarks and evaluation metrics for open model safety"", ""limitations and jailbreaking vulnerabilities in open source language models""]","[""taxonomy of safety alignment in open-source language models"", ""open-source LLM families Llama Mistral Falcon safety alignment"", ""RLHF and DPO techniques for aligning open source models"", ""inference-time safety filtering and constrained decoding for open LLMs"", ""benchmarks and evaluation metrics for open model safety"", ""limitations and jailbreaking vulnerabilities in open source AI models""]","[""taxonomy of safety alignment in open-source language models"", ""open-source LLM families Llama Mistral Falcon safety alignment"", ""RLHF and DPO techniques for aligning open source models"", ""inference-time safety filtering and constrained decoding for open LLMs"", ""benchmarks and evaluation metrics for open model safety"", ""limitations and jailbreaking vulnerabilities in open source AI models""]"
q007,tool use and planning in autonomous LLM agents,9,483.668,290.461,482.921,False,True,True,"[""survey of autonomous LLM agents for tool use and planning planning"", ""architectures for LLM-based agents with API interaction"", ""fine-tuning methods for large language models in tool call calling"", ""inference strategies for chain-of-thought and inic agents"", ""benchmarks for evaluating agent performance planning and tool execution"", ""limitations and safety challenges in multi-step LL LLic workflows""]","[""survey of autonomous LLM agents for tool use and task planning"", ""architectures for LLM-based agents with API interaction"", ""fine-tuning methods for large language models in tool calling tasks"", ""inference strategies for chain-of-thought and reasoning in agents"", ""benchmarks for evaluating agentic planning and tool execution"", ""limitations and safety challenges in multi-step autonomous LLM workflows""]","[""survey of autonomous LLM agents for tool use and task planning"", ""architectures for LLM-based agents with API interaction"", ""fine-tuning methods for large language models in tool calling tasks"", ""inference strategies for chain-of-thought and reasoning in agents"", ""benchmarks for evaluating agentic planning and tool execution"", ""limitations and safety challenges in multi-step autonomous LLM workflows""]"
q008,mixture of experts routing stability in transformers,8,436.070,290.503,435.355,False,True,True,"[""mixture of experts routing stability mechanisms transformers survey"", ""MoE load load and and balancing strategies"", ""auxiliary losses for stable expert routing in transformers"", ""deterministic vs deterministic routing stability in transformers transformers"", ""benchmarks for MoE routing distribution stability"", ""limitations of expert routing in in MoE models""]","[""mixture of experts routing stability mechanisms transformers survey"", ""MoE load balancing and routing collapse methods"", ""auxiliary losses for stable expert routing in transformers"", ""deterministic vs stochastic routing stability in MoE"", ""benchmarks for MoE routing distribution consistency"", ""limitations of expert routing in large scale language models""]","[""mixture of experts routing stability mechanisms transformers survey"", ""MoE load balancing and routing collapse methods"", ""auxiliary losses for stable expert routing in transformers"", ""deterministic vs stochastic routing stability in MoE"", ""benchmarks for MoE routing distribution consistency"", ""limitations of expert routing in large scale language models""]"
q009,speculative decoding for faster text generation,9,485.856,338.667,435.202,False,True,True,"[""speculative decoding survey of large language model inference acceleration"", ""draft model architectures for speculative decoding de-generation"", ""speculative decoding algorithms and verification mechanisms"", ""optimizing speculative decoding inference methods and sampling strategies"", ""performance benchmarks of speculative decoding across LLMMs"", ""limitations and overhead analysis of speculative decoding techniques""]","[""speculative decoding survey of large language model inference acceleration"", ""draft model architectures for speculative decoding de-generation"", ""speculative decoding algorithms and verification mechanisms"", ""optimizing speculative decoding inference methods and sampling strategies"", ""performance benchmarks of speculative decoding across LLM families"", ""limitations and overhead analysis of speculative decoding techniques""]","[""speculative decoding survey of large language model inference acceleration"", ""draft model architectures for speculative decoding de-generation"", ""speculative decoding algorithms and verification mechanisms"", ""optimizing speculative decoding inference methods and sampling strategies"", ""performance benchmarks of speculative decoding across LLM families"", ""limitations and overhead analysis of speculative decoding techniques""]"
q010,quantization effects on reasoning in large language models,10,533.845,292.279,533.093,False,True,True,"[""impact of bit precision quantization on large language model reasoning capabilities"", ""comparison of GPTQ and Llama quantization on LLM logic performance"", ""post-training quantization vs quantization-aware training for logical tasks"", ""quantization effects on chain of thought prompting and mathematical"", ""benchmarks for evaluating reasoning in quantized large language models"", ""limitations of low bit quantization in complex problem solving""]","[""impact of bitwise quantization on large language model reasoning capabilities"", ""comparison of GPTQ AWQ llama quantization on LLM logic performance"", ""post-training quantization vs quantization-aware training for reasoning tasks"", ""quantization effects on chain of thought prompting and inference"", ""benchmarks for evaluating reasoning in quantized large language models"", ""limitations of low bit quantization in complex problem solving""]","[""impact of bitwise quantization on large language model reasoning capabilities"", ""comparison of GPTQ AWQ llama quantization on LLM logic performance"", ""post-training quantization vs quantization-aware training for reasoning tasks"", ""quantization effects on chain of thought prompting and inference"", ""benchmarks for evaluating reasoning in quantized large language models"", ""limitations of low bit quantization in complex problem solving""]"
